id,x,y,marker
844,161,307,DAPI
845,470,252,DAPI
846,484,277,DAPI
847,559,278,DAPI
848,423,168,DAPI
849,622,381,DAPI
850,543,551,DAPI
851,158,710,FITC+TxRed-A-1 
852,121,699,FITC+TxRed-A-1 
853,85,696,FITC+TxRed-A-1 
854,197,731,FITC+TxRed-A-1 
855,435,576,FITC+TxRed-A-1 
856,407,731,FITC+TxRed-A-1 
857,750,658,FITC+TxRed-A-1 
